Dealership_Name,Location,Total_Cars_Sold,Total_Revenue
Dias SARL,Boulayboeuf,4102,42485171.69
Payet Perrier S.A.,Saint Hortense-la-Forêt,3480,47265936.93
Arnaud Fernandes SA,Sainte Laurentboeuf,1496,15387937.33
Gaudin Joseph S.A.R.L.,Allain,2128,21592083.47
Barbe,BlotBourg,3893,41587920.33
Gay,Ruiz,2334,33051305.94
Blanc SA,Saint Frédérique,3563,31652609.55
Prévost,Sainte Françoisedan,1046,3560202.65
Jacquet S.A.S.,Richard-la-Forêt,2958,11597403.82
Boucher,BergerVille,589,6992299.2
Lévêque,Perrot,3997,35003391.13
Maillard,Andre-sur-Fernandez,2600,3347768.43
Lacroix Valentin S.A.,Lebrun,3908,18992893.65
Allain,Bouvet,1094,1562230.57
Dias,Olivier,1536,41478661.36
Guilbert,Roynec,510,39029202.86
Moulin Morvan SARL,Baudryboeuf,2078,31321099.42
Bigot,Boucher,2861,31165157.73
Leclerc,Leclercq,4527,35843379.46
Maury Maillet S.A.R.L.,Sainte SylvieBourg,695,44214687.72
Leduc,Royerdan,2005,25159983.05
De Sousa,Saint Noémi,3668,21049956.74
Cordier Lesage et Fils,Goncalves,4768,45990314.99
Joseph Chauveau S.A.R.L.,Tessier-sur-Traore,4307,28898514.88
Voisin Arnaud S.A.,Pelletier-la-Forêt,4949,28017280.55
Michaud Lambert S.A.R.L.,Jacquet,4646,3182889.95
Garcia,Joseph,3118,31659508.82
Carlier,Maillot,4765,48984584.72
Charrier S.A.R.L.,Sainte Édouardboeuf,640,9758637.09
Pichon SARL,Sainte Tristan,2926,30446828.58
Pasquier SARL,Guicharddan,2409,33797400.68
Gonzalez Grenier S.A.,Philippe,2929,49452964.63
Gilles,Léger-sur-Ramos,618,18494552.93
Paul,DelormeBourg,3919,14818682.33
Evrard Rolland et Fils,Collet,1848,16598529.45
Durand et Fils,Mary-sur-Deschamps,4027,15375188.34
Gautier,Saint Michelle,1183,19410630.51
Thibault,Perrot,4206,27893089.04
Labbé Schmitt S.A.,Bousquet,1180,29289088.75
Torres S.A.S.,Richard-sur-Becker,3324,2920554.14
Guillet,Roche,1205,47154156.77
Langlois,BlondelVille,3669,6194186.37
Fournier Baron SA,Laurent-sur-Blanc,3110,36660116.62
Berger,RousseauBourg,3940,1172316.29
Clerc SARL,Martin,4261,35695358.11
Lambert,Fabre,2346,2824768.49
Couturier,Sainte Geneviève,3979,46973367.35
Muller,Muller-les-Bains,4561,21157522.95
Bruneau Tessier S.A.R.L.,CostaBourg,4979,11414110.25
Masse,Teixeira,2636,34214438.28
Martins SARL,Moreau,3252,46123939.56
Maillard,Sainte Élise,4061,2859268.42
Rivière Hamon et Fils,Bailly,2190,22143129.6
Pasquier,Didier-la-Forêt,1210,18189280.74
Costa Blot S.A.,Saint Tristan,114,28924197.32
Simon SARL,Cousindan,2992,48635480.93
Godard,Imbert,4556,26832837.33
Le Goff,Sainte Caroline-les-Bains,106,41785031.04
Pelletier Gallet S.A.,Dufourboeuf,3534,29824591.55
Moreau Bègue SARL,Sainte Alfred,754,48634456.75
Martineau,Blanchet,4224,25320567.17
Rousset,Sainte Olivieboeuf,1273,6682680.02
Brunet,Guillon,1228,44664647.86
Bonnet,Saint William,678,43473981.27
Klein,Marchand,2400,11600059.4
Sauvage,Valettenec,2085,36625556.97
Legendre Étienne SA,Legros,2758,24045505.7
Diaz Adam SA,Roy-sur-Pons,2153,47922072.58
Goncalves,Valette-les-Bains,1040,46136358.63
Lemonnier,Lejeuneboeuf,2702,35310502.81
Lebrun Allard et Fils,Bernardboeuf,481,34825310.7
Techer Potier SARL,Masson-sur-Mer,622,5074280.58
Teixeira,Gillet,1085,14333699.23
Grenier,Saint Susanne-sur-Mer,3268,11129601.95
Masse S.A.S.,Clémentnec,4559,15661069.43
Leconte,Saint Madeleine,2422,46587444.76
Pruvost,Saint Constance,1015,4414684.55
Leleu Lefort SA,Cousin,4417,3038243.63
Cordier,Sainte Alex,1791,30529743.55
Godard Ribeiro S.A.,Sainte Chantal,2473,15569539.59
Chevalier,Thierry,2386,34699731.03
Legendre,Marty-la-Forêt,2049,25452251.01
Costa Legrand S.A.S.,Moreau-sur-Laurent,2439,3968004.82
Laroche S.A.R.L.,Sainte Julien,1686,25290527.59
Benoit,Carlier-sur-Dufour,857,32405854.99
Martineau,Rodriguez,1521,35323890.52
Lefebvre et Fils,Saint Zacharie,958,43369428.32
Gérard,HoareauBourg,197,37670766.82
Munoz S.A.R.L.,Saint Gérard-sur-Mer,4841,31777391.5
Vallée,Saint Grégoire,4159,7268247.56
Coste S.A.R.L.,Sainte Christophe,583,25236316.73
Breton,RenaudVille,3442,20871043.35
Vidal S.A.R.L.,Morvan,1629,47703076.59
Lelièvre,Fernandes-sur-Boulay,2451,9883681.47
Mahe Chevalier S.A.S.,Colin,3403,32285987.57
Lebon,Fouquet,3356,11280981.9
Delmas,Poulain,2316,6255179.26
Dubois S.A.,Imbert,2564,29960837.62
Rocher,Saint DanielleVille,1113,18601397.62
Weber,David,795,34004725.6
Hebert Bourdon S.A.,Boutin-sur-Mer,3387,21278893.37
Thibault S.A.,Jacquet,1856,41438163.27
Paul,Dupontnec,4915,28070808.0
Duhamel,Robinboeuf,1594,40648118.92
Martinez Olivier S.A.S.,Boucher,2298,3636465.84
Klein SARL,Briand,3107,43668143.22
Olivier Evrard SA,Legrand-sur-Pelletier,1693,26947092.53
Roger Menard et Fils,Rossiboeuf,4663,19108347.61
Duhamel Delorme SARL,Gonzalez,884,25733125.55
Lecoq Bouvet et Fils,Evrard,1982,2016784.02
Fernandes,Mathieu-les-Bains,2726,16692524.17
Sauvage SARL,PicardBourg,930,37850882.23
Verdier Benoit SARL,Sainte Lucy,1032,13104450.78
Allain,Klein,274,47034321.7
Durand SARL,Saint AliceBourg,2235,44666875.26
Barre S.A.S.,Josephdan,2594,3596588.81
Chevallier Le Goff S.A.R.L.,Sainte Christelle,3219,43986280.67
Vasseur,Pons-sur-Hebert,2407,26577465.72
Da Silva Didier et Fils,Perrier,390,15571064.48
Merle,Lopesnec,191,12644318.59
Costa Cordier SA,Dos Santos,1073,35701169.16
Dubois SARL,Lacroix-la-Forêt,178,47039431.36
Alves,Sainte Suzannenec,4668,19114508.01
Jourdan et Fils,Saint Susan-les-Bains,1821,16063047.1
Benoit SARL,Joubert,713,39437439.08
Royer et Fils,Launay-sur-Navarro,4807,49678543.76
Perez Regnier S.A.,Bigot,4260,41132084.84
Lenoir,Carondan,3179,37717738.71
Valentin Raymond SARL,Allard-les-Bains,3949,2905753.1
Schmitt et Fils,Saint Jérômeboeuf,3435,1776627.68
Petitjean Picard S.A.,Lejeuneboeuf,1970,22674683.48
Leblanc Chauvin et Fils,Saint Alexandria,4152,47645806.91
Payet,JacquetBourg,608,22145894.69
Perrier Martins SA,Sainte Andrée,2769,21987698.44
Breton Costa et Fils,Delmas,1502,31498611.6
Dias,Arnaud,2362,35149797.09
Perrot Becker SARL,Dupré,3924,41722936.08
Hamel,Vallet,376,22860874.46
Fleury Foucher SA,Hoarau,1932,25698410.5
Bazin,Dupré-la-Forêt,3694,2598974.13
Dos Santos,Diaz-sur-Valette,2230,25668717.52
Becker,Potier,661,2615381.78
Gaudin,Légerdan,2077,5891254.36
Thibault,LeclercqBourg,2690,17790546.66
Bourdon Joubert SARL,Robin,622,28411386.02
Didier SARL,Guibert,703,40003298.07
Ruiz,Sainte Victor,274,11569037.45
Joseph Ferrand SA,Leduc-la-Forêt,1884,39357432.59
Pinto,Fernandezboeuf,458,45512444.19
Le Goff et Fils,Faivre-les-Bains,348,48960164.23
Blanchard S.A.S.,Sainte Sophie,1457,1486468.35
Merle Roux SARL,Dos Santos,4876,46108850.78
Gaillard,Saint Françoise,1661,30779466.91
Guérin,Blanchard-sur-Mer,1103,14566919.22
Deschamps,Moreno,1086,3553252.58
Lenoir et Fils,Legrand,2440,29071026.41
Wagner Brunel SARL,Barre,3058,30352440.41
Besson Renaud et Fils,Foucher-sur-Dumas,3655,31358358.93
Faure,Fournier,2856,35729991.18
Allain Leroux S.A.R.L.,Boucher,871,20710368.46
Le Goff S.A.R.L.,Perret,983,19605471.29
Courtois,GonzalezBourg,4249,25861778.26
Legrand,RodriguezBourg,4255,27692766.31
Leduc Boyer SARL,Huetdan,910,45814998.74
Mace Martineau SARL,BodinVille,243,31444760.7
Coulon S.A.,Gallet-sur-Mer,4402,40688848.53
Delahaye S.A.S.,Joubert-les-Bains,1027,3797115.56
Clément S.A.S.,Thomas-sur-Daniel,1117,15836250.58
Tessier,LeblancVille,4547,48898058.39
Pires,Brianddan,1766,26391638.93
Bigot,Prévost,3123,10266057.43
Roussel Dias S.A.S.,Blanchet,647,25978082.02
Martineau,Baron,2379,13105561.66
Barre et Fils,Valentin,4325,14788295.25
Letellier Robin S.A.,Peronboeuf,1087,28279712.73
Blondel,LeducVille,4309,22469715.39
Clerc,Charles,3782,9326137.59
De Sousa,Lecoq-sur-Dumas,3578,22382241.13
Auger,Mallet,1062,11209663.3
Pottier SARL,Paul-sur-Hoarau,3684,8889797.31
De Oliveira,Turpin,4346,2147348.85
Vaillant,Lejeunenec,2538,28489262.63
Lefèvre S.A.S.,Saint Éléonore,1852,2574909.53
Baron,Bazin,2808,46264154.6
Richard,Brunet-sur-Marie,233,25051502.78
Valentin SA,Sainte Patrick,1357,48940683.11
Michel Marin S.A.S.,Faure,2210,31378724.31
Valette,Sainte Nathalie-les-Bains,1907,3667294.67
Blot S.A.S.,Humbert,3505,8043135.06
Chrétien et Fils,Saint Maggiedan,3394,30672469.25
Bernier SA,Dupuy,866,22021050.09
Nguyen,Cousin,848,30897134.99
Albert,Aubry,3738,1575851.46
Laporte Guillot SARL,Mercierdan,3570,23548590.96
Laroche,Sainte Pierrenec,3851,5266016.75
Diallo S.A.S.,Blanchard,2878,28815215.79
Alves Brun SARL,Marieboeuf,4185,20127432.66
Jacquot et Fils,Gaudin,810,25617443.37
Fleury,Delmas,1908,19434110.48
Samson Garcia SARL,Sainte Juliette-les-Bains,4545,21116797.79
Descamps Deschamps et Fils,Guyot-sur-Mer,668,12484504.23
Baron,Pinto-sur-Martinez,1102,18296317.54
Costa,Leroy,2800,5107112.51
Lévêque,NormandBourg,347,32405159.53
Guillon,Simon,1417,40300422.27
Rossi,Lebrun,435,9065880.34
Rivière SARL,MarinVille,3142,15869008.95
Pinto,Reynaud,1702,6579626.24
Perrin SARL,Pintoboeuf,166,19454088.25
Legrand,Gaynec,910,42368463.77
Rodrigues Thierry SARL,Rivièreboeuf,4081,13285897.68
De Sousa,Saint Bernadette-la-Forêt,2879,36029238.22
Andre,Deschampsboeuf,1197,15905306.88
Fernandez et Fils,Renaultnec,1754,42365910.92
Sanchez,Saint FrançoisVille,1391,17473050.04
Olivier,Andre,3028,4730755.12
Moreno Jacques S.A.,Masse-sur-Sanchez,4267,23973938.67
Lefebvre,Joseph-la-Forêt,3796,6431929.15
Simon Lejeune et Fils,Lemaître,3443,6210339.35
Charrier Lemaître S.A.S.,Saint Audreynec,2593,26134267.68
Lamy S.A.,Pasquier-la-Forêt,418,3393278.91
Jacob,Pages,1796,36849395.63
Schneider,Durand,4233,22104189.61
Marty Rossi et Fils,Henry-les-Bains,4446,8744351.98
Pelletier Étienne S.A.R.L.,Guyot-la-Forêt,277,34360501.82
Lecoq,Berthelotnec,264,13749270.24
Picard Dumont S.A.S.,Blinboeuf,3339,4877861.33
Becker,Guibertnec,1407,33801412.24
Lamy Boutin SA,Lebreton,1067,32546475.91
Bègue Maillet S.A.R.L.,NicolasBourg,3697,14668385.82
Traore Gillet S.A.R.L.,Saint Susan,204,37704162.08
Clerc,Maillot-la-Forêt,931,16637673.07
Dupont et Fils,Saint Anouk-la-Forêt,1854,22805049.85
Pottier Gauthier SA,Bonnin,3026,11160687.95
Berthelot,Saint Anne,539,32817150.69
Brun,Petit-la-Forêt,2926,11308279.27
Leblanc Guilbert SA,Sainte Xavier,1482,16393022.88
Gomes SARL,Lévêquedan,4281,22111449.18
Bigot,Saint Marie,3187,22399210.16
Reynaud,Blondel-sur-Nicolas,3761,24391740.16
Ferrand Vallet S.A.R.L.,Riou,4517,28278367.73
Lopez,Leroux-la-Forêt,2576,19385455.08
Diallo,Pichon-sur-Mer,4200,11891325.32
Lecoq,Sainte Margaret,2570,47211916.88
Schneider,Gay,519,26435077.64
Nicolas SA,Rollanddan,3861,21049601.41
Guillot S.A.S.,Hamondan,1921,29869756.95
Carlier Besson et Fils,Barthelemy,1514,21871903.22
Labbé,Sainte Dorothée,689,42666816.41
Paris S.A.S.,Seguin,339,4039393.92
Letellier SA,Coste,1039,13936373.01
Rocher S.A.,Sainte InèsBourg,2472,28832017.0
Bruneau et Fils,Da Silva,1667,33084648.35
Leconte,Sainte Xavier,3827,15510686.71
Buisson,Jolynec,3146,13918239.31
Auger S.A.,Devaux-sur-Lacroix,2670,45579228.5
Alexandre Hamon S.A.S.,Saint Marguerite,2378,15479837.93
Masson,Ledoux,4225,28524067.41
Lenoir S.A.,Thierry-sur-Mer,2271,18560684.76
Blin,Peltier,3334,8279216.49
Marchand,Da Costanec,1696,19294604.39
Blot Bourgeois S.A.,Martins,1728,28863303.68
Payet Lebrun et Fils,Boyer,3105,3438033.32
Bègue,BerthelotBourg,3432,27593810.89
Verdier,Petit,3642,4818691.24
Renault SA,Vaillant,3053,36399758.93
Texier,NoëlBourg,3436,38914584.07
Joseph,Sainte FrédéricBourg,4222,6382695.51
Regnier et Fils,Brunet,697,34180359.3
Sauvage Tessier S.A.R.L.,Saint Thérèse,469,6591050.21
Besnard,Marques-sur-Torres,3837,46677075.06
Chrétien,Cohen-sur-Merle,2795,41192025.0
Alexandre,Didier,4301,12135022.68
Poirier Pires SA,Renard,2598,44763400.62
Sanchez SA,Perez,550,32845415.54
Diaz Barthelemy S.A.,Rivière,2781,20296362.85
Loiseau,Cohen,2212,6997574.64
Labbé,Roux-sur-Mer,431,3892216.46
Boulanger et Fils,LefebvreVille,4024,42700447.87
Bonnin,Mahe-les-Bains,1144,21282209.64
Laroche,Vasseur,1558,19272189.23
Cousin et Fils,Morin-sur-Benard,3379,30117017.33
Baron Legrand SA,GuillonVille,4655,9399772.39
Girard Marie SA,Cohen,4525,23796872.75
Guyot S.A.,Sainte Patrick,3920,19601117.2
Bernard S.A.R.L.,Sainte Gabrielle,1372,44718072.98
Gay Gaillard S.A.,Leconte,3733,16152884.67
Jacquot Costa S.A.S.,Delmas-sur-Mer,209,33006917.67
Berger,Carlier,1338,3661106.63
Pasquier et Fils,Boulaynec,844,37366191.84
Julien,Royer-sur-Muller,2003,47089914.31
Dubois Dubois SARL,Poulain,291,34373273.8
Lefebvre,Thibault,2610,4236852.11
Pottier Rossi S.A.S.,Royer,3222,2000861.57
Weiss,Martel-sur-Jourdan,1693,39865541.1
Benoit,Techer-sur-Weber,1731,9556153.39
Gaudin Martinez SA,Sauvage-sur-Mer,146,1620442.3
Maillet Albert S.A.S.,Saint Lucboeuf,1279,31061077.08
Allard,Guyon,757,7201647.23
Potier,Jean-sur-Mer,4602,41409878.03
Poulain,Samson,4857,14727975.41
Guibert Thomas SA,Laurentdan,4395,36051233.91
Auger,Gautier,4757,21156671.08
Benard,BesnardBourg,3018,33923796.8
Humbert Pelletier SA,Traore,973,25058307.01
Guérin,Jacob,2491,13895144.99
Lopez,Sainte Margaud-sur-Mer,2223,44105189.72
Leconte S.A.,Bousquet,4938,47081422.14
Chartier Lecomte SARL,LégerVille,3161,47674605.29
Guillon,Saint Jacques,1897,24094205.26
Barthelemy SA,Antoine-les-Bains,2718,33249219.44
Leclerc,Weber-les-Bains,1380,1401549.98
Jourdan Durand S.A.R.L.,Dupont,590,6568540.11
Marchal SA,Delaunay,4852,39726504.11
Guillet,Da Costa,4204,22975953.84
Pons,RocheVille,587,48571400.09
Noël S.A.R.L.,Dubois,1701,19076894.85
Bouchet SA,Ledoux,576,22628146.75
Pires Chevalier SARL,Perrin,2062,7414893.54
Thomas SARL,Joly-sur-Valentin,560,33818983.51
Dupré S.A.R.L.,Guérin,724,46632071.69
Leduc Durand S.A.S.,Boutin-les-Bains,2427,42544145.11
Valentin,Saint VirginieBourg,791,33268045.38
Hebert Martins S.A.R.L.,BlotBourg,524,19251280.37
Boyer Delmas SA,Saint Théodore,3432,18572577.31
Mercier S.A.S.,Navarronec,837,13511702.54
Maury,Saint ThéophileVille,534,2490939.78
Perez,Garnier,3435,12956254.0
Barre,Letellier-sur-Collin,3082,25988832.46
Delannoy,Guillaume-la-Forêt,999,15050193.1
Colin SA,BouvierVille,2530,7773690.92
Peltier SARL,Berthelot-la-Forêt,2191,43761364.73
Teixeira Delattre SARL,Sainte Christianeboeuf,2874,13153080.12
Paris,WeberBourg,1376,9862536.38
Camus Faure et Fils,Letellier-sur-Ollivier,4543,11952689.06
Hamon,Paris-sur-Mer,3122,8107298.9
Brunet Morvan SARL,Pinto-la-Forêt,3564,20761685.5
Da Costa,Leclercq,1753,37252589.54
Roussel S.A.S.,Dupontnec,2361,12901796.57
Cohen,LombardVille,2343,11902925.17
Bourgeois Gaudin S.A.R.L.,Gimenez,2279,3133506.86
Raynaud,Raynaud,1163,44616218.47
Labbé S.A.S.,Grondindan,4921,21812385.63
Chartier S.A.R.L.,Barbier,2412,38573449.31
Berthelot et Fils,Delorme,700,33959850.93
Jacquot,Adam,466,27269385.57
Turpin Bernier S.A.,Bouvier-sur-Martineau,4232,6908671.51
Pottier Henry S.A.S.,Bodin-la-Forêt,2662,25409754.18
Fouquet Dos Santos SA,Gillesnec,1120,10898876.48
Gilles,Benarddan,2948,14139539.01
Fleury,Gérard-les-Bains,1350,35417604.31
Martinez,Huet-sur-Mer,420,33326519.41
Guyot,Saint Constance,1876,22652191.99
Vallet,Massenec,4097,43957491.37
Barthelemy,Barbier-les-Bains,3771,40690223.39
Colas Gilbert SARL,Barbier,933,20360201.61
Pasquier,Masson-la-Forêt,4009,25257309.91
Poirier S.A.,Rollandnec,1696,7657682.67
Carre Renard S.A.R.L.,Mace,4374,45392263.23
Gay Hamon et Fils,Saint Nicolas-la-Forêt,257,40582294.61
Da Silva Samson SARL,ValléeBourg,3989,44678423.83
Laroche,Rolland,909,4355189.15
Barre Mary S.A.,BesnardBourg,1978,1214104.0
Alexandre,Thibault,937,14632748.31
Launay,AubertVille,3530,45783723.87
Boulay SA,Charpentier,4713,2075361.11
Thierry,Paris,1827,29785539.22
Vasseur Guillaume S.A.,Legendre-sur-Gilles,2811,31195129.32
Letellier,Sainte Jeannine,3203,24701053.52
Jacquet,Petitjean,4982,11859655.66
Nguyen,Evrard,272,38413975.06
Boulanger,Bigotdan,2306,49263826.59
Munoz,Sainte Philippine,667,14260494.61
Bonnet,Moreau,596,38073470.74
Chrétien,Renard,2583,38794319.84
Delattre Delmas et Fils,Fouquet,3629,44304211.62
Petitjean,Georges,2300,12296298.38
Boucher S.A.R.L.,Guillet-les-Bains,1242,26282646.14
Pruvost Germain S.A.R.L.,Sainte Mathilde,2519,6465761.74
David S.A.,Couturier,2501,44910269.79
Moulin SARL,Sainte JacquesVille,4076,1930126.06
Lopes S.A.R.L.,Godarddan,123,4990759.86
Lefèvre,Pons,2808,27120544.17
Maillet et Fils,Schneiderdan,828,23524715.39
Marques,Letellier-sur-Pruvost,4521,43247835.97
Roger Bousquet et Fils,Dos Santos,2902,47010375.07
Brunet Diallo et Fils,AlvesBourg,4477,1200725.77
Benard et Fils,Poirier-sur-Mer,3956,21592755.7
Vasseur,Morel,1956,22777844.55
Coste,Sainte Renée,2107,38838375.06
Rousset,Sainte Vincent,730,21147992.13
Léger,FaivreVille,486,30652460.49
Guillou,Camus,2004,24476139.5
Gimenez S.A.S.,Lebon,416,36189637.78
Perrier De Sousa S.A.,Sainte NicolasVille,1805,28009765.92
Cousin,Renard,2929,41162877.68
Coulon,Sainte Grégoirenec,4578,3131229.56
Gomez,Petit-la-Forêt,3256,16059763.87
Lagarde,Leclercdan,3419,21409652.08
Lefèvre Raynaud S.A.,LebonVille,4059,14828097.22
Gomes et Fils,Rousseaunec,1783,15224411.02
Ramos Carre S.A.,Saint Inès,534,41342946.82
Bernard SA,CosteBourg,2910,27712366.91
Alves Vallée et Fils,Leclerc-sur-Regnier,4665,1404448.94
Bonnin et Fils,Sainte Constance,4357,20025531.45
Lefèvre,Delmas-la-Forêt,882,20624272.44
Barbier,Reynaudboeuf,3854,43106957.83
Normand SA,Mendès,1891,13348694.86
Rossi,Saint Adrienne,4393,13611393.14
Paul Gallet SARL,Lévêque-les-Bains,4095,13028389.49
Lebon Lejeune SARL,Gautier-la-Forêt,4408,12776442.12
Klein SARL,Sauvage,3606,8909986.82
Coste et Fils,Samsonboeuf,4040,41127373.75
Joly Letellier et Fils,Sainte Victor,434,43314862.12
Roche,Mary-les-Bains,2302,45661868.41
Rémy,Marquesboeuf,527,5704415.33
Dumont Blanc SARL,Jacquotdan,3331,17560037.23
Maillard Dumas et Fils,Meunier,2203,29170223.58
Bouvet SA,Diaz,1161,30539472.31
Dupuy Rivière S.A.R.L.,Lemonnier,2318,30059747.89
Pires,Bessonboeuf,865,5303041.41
Berger SARL,Guillou-sur-Didier,3889,25809423.44
Poulain,Jourdan,2052,22548223.57
Pereira et Fils,Blanc,4418,5978760.08
Thibault SARL,Maillard-sur-Vasseur,855,11200549.17
Bourdon SA,Parisdan,384,25965286.17
Henry,Rossi,4479,11247757.32
Voisin,Raymond-sur-Courtois,4364,39986900.66
Bonneau,Muller-sur-Mer,3849,14049010.77
Bousquet Blot et Fils,Morinnec,3455,28450074.1
Lemaître Baudry S.A.S.,Berger,2888,36707821.59
Chevallier Richard et Fils,Sainte Xavierdan,1788,10055405.08
Bourgeois,Tanguy,4406,6664881.93
Lopes,Pascal,4621,30990817.75
Lefort,Saint Maggiedan,3358,40440879.38
Martinez Gosselin SA,Delorme,2627,11424294.12
Letellier,Collet,4884,6609330.82
Girard Klein SA,Martydan,481,46508566.64
Leclerc,Saint Lorraine,3553,25433463.29
Cousin et Fils,JacobBourg,3403,9725608.08
Gaudin,Peron,1598,26706415.2
Mace S.A.R.L.,Pereira,971,15391303.74
Maillard,Saint ClémenceVille,382,18623080.49
Martins Potier SA,Sainte Susan,1465,11059717.83
Renault,Thibaultnec,4604,21831332.08
Merle,Saint Amélie-les-Bains,2782,33829142.18
Hoareau,HoarauBourg,2606,13218930.21
Lemaître,Sainte Augustinnec,927,15038218.39
Chevalier,Bazin,3181,34536870.84
Fournier SARL,Coulon-sur-Gaillard,3233,6858079.81
Dumont S.A.R.L.,Georges-sur-Lenoir,1327,25832685.09
Boulanger et Fils,Saint Lucie,561,23377649.73
Masson Hebert et Fils,Saint Isaac,2142,44996806.61
Pasquier S.A.S.,Saint Léon,4305,17400024.25
Dupont,Saint DanielVille,1228,24318265.8
Voisin,Marynec,1279,5190925.24
Leclerc Mercier SARL,Rey,3064,45805714.66
Perez,Giraud,1765,1674008.36
Sauvage,Saint Suzanne,816,24051731.44
Joseph SA,Chrétien-sur-Dupont,2433,35887047.11
Fischer Alves SA,Pruvost,2544,46757260.15
Martin S.A.S.,Sainte Isaacnec,2052,3263257.61
Renault,Sainte Lucie,1916,22541486.58
Baudry et Fils,Schneider-sur-Evrard,1163,45393512.4
Boyer Samson SA,Costa,3943,48709079.24
Torres et Fils,Rossi-sur-Joubert,3125,3280144.94
Poulain S.A.R.L.,Blancboeuf,1316,34272170.28
Albert et Fils,Salmon-sur-Chevallier,2373,45884287.26
Picard,Schmitt-la-Forêt,3060,19697114.45
Joseph Munoz S.A.,Charrier,2104,19174461.51
Guillot,Mauriceboeuf,3027,47644516.98
Colas Collet et Fils,Guichardboeuf,3835,5480700.07
Rodriguez,Delattre,3206,18196661.15
Vaillant,Descamps,4447,11392860.43
Marty,Nicolasdan,2724,5146868.37
Michaud,Le Goff,3988,4032224.17
Grenier Humbert SA,Guilletboeuf,4816,14281894.25
Laporte Morin S.A.R.L.,Gaillard-sur-Gros,2933,3820379.65
Joubert S.A.S.,Sainte Manonboeuf,2433,44400043.4
Lecoq Étienne S.A.S.,Saint VictoireVille,973,28869362.32
Rodriguez,Lejeune,3768,19988178.12
Gosselin,Renault,4949,21697827.64
Sanchez Dufour et Fils,Humbert-sur-Raymond,2672,37246570.99
Rivière,Meunier-la-Forêt,3277,31328963.24
Meyer et Fils,Saint Frédéricnec,1401,21289640.38
Lemaître SA,JolyBourg,3001,9566469.59
Hardy Noël S.A.S.,Morel,4015,49285134.97
Dupré,Chauvet,1411,44403413.64
Roussel,Saint Huguesnec,4453,31349106.58
Marion,Letellier,3254,39612758.95
Leclercq S.A.S.,Gautierboeuf,2476,8849191.55
Reynaud Georges S.A.S.,Breton,614,45734818.08
Rolland S.A.R.L.,Schmitt-sur-Regnier,2873,32758204.55
Leclerc,Lacombe-les-Bains,4532,4814290.12
Moreau et Fils,Pascaldan,1166,5772863.62
Blanchard,PerretVille,1365,16675336.02
Garnier et Fils,Guillou,4971,41826650.54
Leclerc,Bourdon,3686,22473462.5
Thierry S.A.S.,Pottier-les-Bains,661,19393184.37
Monnier S.A.S.,Voisinboeuf,2991,43795230.11
Garcia S.A.,Lemaître-sur-Mer,3536,47711078.05
Lemaître Charpentier S.A.,Perrier,3194,11607800.12
Chevallier,Ferrand,4853,36161973.21
Weber,Sainte Benjamin,2743,25516991.17
Menard,MichelVille,4491,43923435.87
Ribeiro,Lemaire-les-Bains,3787,43224738.07
Picard,Marin-sur-Germain,4747,11606209.29
Texier,Renaultnec,3056,10872245.13
Alves SA,Ledoux,2661,1386246.88
Pineau Baudry et Fils,Saint VictorVille,2378,5963020.19
Rémy,Sainte Suzanne-sur-Mer,1231,2076453.28
Lopez,Saint SusanBourg,4994,47455980.86
Laine,Becker,3096,33109173.78
Alves,Bruneau,4260,37449829.93
Pelletier Picard S.A.R.L.,Guillon,282,38349211.03
Philippe S.A.,Jacques-la-Forêt,4478,3621080.19
Mathieu S.A.R.L.,Guillot,4329,36576208.27
Benard Blot S.A.,Mathieu,1958,7481619.12
Guyot SARL,Vaillant-sur-Bègue,1607,44512122.41
Delmas,LemonnierVille,1090,8076993.87
Lecomte,BertinBourg,2759,11353958.29
Fontaine,Le Roux,4018,4155377.51
Lambert,Pinto-la-Forêt,3386,18919745.76
Joly,Prévost,3212,48109006.4
Antoine S.A.,Toussaint-sur-Mer,2258,1549050.94
Robin,Fouquet,2399,3022025.98
Navarro Leroy et Fils,Sainte Étienneboeuf,3806,25303509.63
Lagarde Guilbert S.A.R.L.,Chauvin,4203,4891981.02
Traore Guibert S.A.,Rodriguez-les-Bains,2676,3439203.78
Schmitt,Boucherdan,3974,21146790.7
Rousset,Courtois,1808,37086918.31
Dias SARL,Saint Camille-sur-Mer,4384,39223748.37
Buisson,Poirierboeuf,3679,42587929.58
Rossi Henry S.A.S.,Guérinboeuf,597,10828835.09
Fleury SARL,Sainte LaurentBourg,4613,15755556.25
Gonzalez Lejeune SARL,Thierry-sur-Mer,3120,10550721.91
Faivre,Royer-sur-Mer,1967,5832901.29
Mahe,Maurice,2387,26791618.71
Dupré Verdier SA,Mahe-les-Bains,383,21333106.05
Lecoq,Sainte Tristan,4871,8240665.39
Meunier S.A.S.,Paris,1585,15917995.62
Colin,Sainte MichelBourg,1337,26297253.62
Blot Nicolas S.A.R.L.,Saint Jacques,1444,47966580.56
Fournier Hoareau S.A.S.,Sainte Alex,2139,23735383.19
Besson Gros S.A.,Dupontboeuf,952,40338233.61
Gautier,Benarddan,2187,46052331.16
Perret Wagner S.A.S.,Fernandez,4082,31045965.43
Monnier et Fils,Peron-sur-Renault,1157,33149623.61
Lambert,Sainte Gabrielle,993,37919464.77
Rivière,Bretondan,1645,6037895.6
