Campaign_Name,Target_Location,Campaign_Type,Budget,Success_Rate
Schmitt,Fernandes-sur-Hubert,Radio,494073,0.8057381632415447
Chrétien Chartier et Fils,Pierre,Radio,377913,0.5472323909434124
De Oliveira Mahe S.A.,Chauveaudan,Social Media,141215,0.6423707860545129
Bazin S.A.S.,Bertrand,Radio,213097,0.8424807291071937
Michel S.A.R.L.,MichaudVille,Billboards,339365,0.13123360500247544
Roussel Gaillard S.A.,Maury,Radio,469989,0.3601956303947267
Robin S.A.,Gillesnec,Social Media,163084,0.28513813783708325
Lacroix,Renauddan,Social Media,392079,0.5550020509994259
Guyon SARL,Hardy,Billboards,44329,0.5675746248161985
Chartier,Germain,Social Media,469042,0.46900345099231133
Buisson Hebert SA,Guyon,TV,136003,0.6160695619910908
Renard Lévêque S.A.S.,Léger,Radio,196630,0.8296522436832354
Becker,Huet,Radio,392708,0.35204198468604386
Weiss,VidalVille,TV,443547,0.8958044822668986
Royer SA,Pons-les-Bains,Billboards,342403,0.8825342581538773
Letellier,Martins-sur-Mer,Billboards,70342,0.5533342151980173
Bertin S.A.,Couturier,Radio,62044,0.4870863025161143
Dubois,Fernandez-sur-Jourdan,Radio,314134,0.4695760507049558
Michel,Bodin,TV,60566,0.41254194151293144
Da Costa Gonzalez S.A.R.L.,Navarro-la-Forêt,Radio,447807,0.6607011556258511
Raynaud,Courtois-sur-Pages,Billboards,243217,0.8627836512561206
Turpin,Rossi,Social Media,309387,0.85593294125706
Traore,Saint Audrey,Billboards,246237,0.7141491338592971
Olivier,Blanc,Social Media,349192,0.18762635467698827
Weber et Fils,Ruiz,Radio,73168,0.6619598361136263
Carlier Gros SA,Sainte Marie-la-Forêt,TV,270417,0.7070503662010723
Lemoine SARL,GuillotVille,TV,216727,0.8450877316088901
Guillaume SARL,Chevalier-sur-Mer,Billboards,143494,0.2661188536504192
Rémy SA,Grondin,Social Media,130450,0.5821853376548777
Vasseur,Weissboeuf,Social Media,110863,0.7993028925969243
Jacques SARL,Dijoux,Social Media,163686,0.716851992709807
Tanguy SA,Gimenez-sur-Bourdon,Radio,106946,0.71738233166199
Maillot,GrégoireBourg,Social Media,331262,0.2645908059353994
Aubert,Bodin,Social Media,445400,0.4461217433065344
Martin,Lecomtenec,Radio,101233,0.3745819161105203
Tanguy S.A.R.L.,Saint Denise-la-Forêt,TV,215052,0.13381459341065016
Thomas,Saint Victornec,Billboards,127313,0.37082710860396106
Hubert et Fils,Legrand,TV,411638,0.19551932965234348
Bertin,Lagarde,Billboards,280253,0.7717350554109199
Alves,Joly,TV,497996,0.28946788364103104
Ferreira,RollandVille,Billboards,374981,0.34820939402023066
Humbert S.A.S.,Charrier,Social Media,356494,0.8012572251891049
Daniel Marchal S.A.S.,Foucher,Social Media,342634,0.4263034088451726
Rousseau Hubert SARL,Gosselinnec,TV,130875,0.36103015799519567
Hardy,Barbier,TV,98298,0.7387892024589974
Leclerc SA,RaynaudVille,Billboards,270211,0.1707561099079018
Grégoire,Faivreboeuf,TV,26670,0.2590454461193361
Nicolas,Durand,Radio,354748,0.2624068787512709
Coste De Oliveira S.A.,Lacombe,TV,244849,0.22138213791136147
Poulain S.A.,Saint Maryse,Social Media,90769,0.8675941257507708
Marchal et Fils,Laroche-sur-Blot,TV,319098,0.4031529959370016
Julien,Bertrand-les-Bains,Billboards,278324,0.17276008736528103
Fournier,Barbier,TV,74769,0.3023878782072458
Mendès Bonneau et Fils,Blanchard-sur-Mer,Radio,409206,0.6817452789572674
Legendre SARL,Clément-la-Forêt,Billboards,336381,0.6152583889314494
Bertin,Sainte BernardVille,Social Media,101487,0.560703492908119
Pelletier,PierreBourg,Radio,40331,0.804760971337834
Didier Menard SARL,Prévost-sur-Mer,Social Media,124893,0.23229668462915243
Collin,Martineau,Social Media,467162,0.36452975446687963
Dupré S.A.S.,Sainte Maggie,Billboards,174889,0.3267936368021752
Gimenez,Saint VincentVille,Radio,425064,0.20743477302233304
Lemaire,Antoine,TV,228632,0.5907356609538199
Godard,Legendre,Billboards,130556,0.550671139912367
Rivière S.A.S.,Lemaire,Social Media,194687,0.44263943282268803
Royer,DijouxBourg,Billboards,442501,0.15183216350706685
Lévêque Lemaître S.A.R.L.,Sainte Gabrielle,Radio,65795,0.43474738455597783
Dupont S.A.S.,Barbe,Radio,74232,0.8805913002216259
Lesage S.A.S.,Albertboeuf,Social Media,476409,0.25542130438673577
Lagarde Boucher S.A.R.L.,Saint AugustinBourg,Social Media,24305,0.41248112553833105
Marchand Martel S.A.R.L.,Camus-les-Bains,Billboards,310044,0.8810824740091473
Maury,Saint Aimé,Social Media,328873,0.4288644504116452
Barbe Camus S.A.S.,Hamel,TV,280255,0.1672079540084308
Jacques SARL,Chevallier-sur-Petitjean,Social Media,450437,0.35390670950676595
Lamy et Fils,Seguin,Billboards,396571,0.5904764735842098
Mary,Alexandre-les-Bains,TV,348286,0.3614611933676847
Weiss,Albert-sur-Schneider,TV,274005,0.6799382572749686
Giraud,Garnier,Radio,390633,0.2228188431571364
Lucas Raynaud et Fils,Maillot,Radio,342662,0.17197561231520736
Marchand et Fils,Da SilvaVille,Billboards,278217,0.8906263578638514
Lesage Petitjean SARL,Gilles,Radio,49946,0.6092316699739085
Bousquet,Sainte Pénélope,Social Media,355468,0.6735982301121598
Fouquet S.A.R.L.,Barbe,Radio,235530,0.7603350575623211
Roger,Toussaint,TV,198617,0.7392580627266365
Robin SARL,Sainte Dominique-les-Bains,Social Media,151357,0.3823468092756287
Cordier Vincent et Fils,Charles-sur-Toussaint,Radio,70921,0.27174700396251017
Humbert,Saint Adèle-sur-Mer,Social Media,211165,0.8502803381828302
Hamel,Saint Isabelle-sur-Mer,Billboards,156573,0.2716268850230822
Colin Gosselin S.A.R.L.,Saint Stéphanie,Radio,204686,0.8344822629517513
Le Gall Joly SARL,Huet-sur-Mer,Radio,99169,0.7493411656004139
Le Roux SA,Gomes,Radio,329620,0.7984712562541268
Duval,Dumont-sur-Perret,TV,460704,0.7422740932808586
Pires Perrot S.A.R.L.,Delahaye-les-Bains,Social Media,492672,0.17055458179828625
Besson S.A.S.,Lefort,TV,323100,0.15404652711275357
Thomas Navarro S.A.,Lopesdan,Billboards,132757,0.12851264931647866
Rossi Blot S.A.R.L.,Sainte Sylvie,Social Media,193850,0.728278902814755
Collin,Robin,Billboards,286852,0.8067049539787351
Laporte Hamon SARL,Diallo-sur-Gimenez,Radio,464274,0.7324830581215703
Alexandre,Deschamps,Radio,219126,0.21106131821266302
Couturier Clément S.A.R.L.,Guillaume-sur-Cordier,Radio,103580,0.665593511682918
Weber S.A.S.,Prévost,TV,431636,0.8494738049508058
Lopes,Sainte Eugènenec,Social Media,114813,0.7061824117870406
Roger,Charles-sur-Mer,Billboards,48927,0.4234760298366099
Pelletier,Guillet,Social Media,177258,0.2108782635843121
Huet Antoine S.A.S.,Saint Philippine,Social Media,221256,0.47227522305439107
David,Bègue,TV,314432,0.3872146949140308
Teixeira,Bonnin,TV,243444,0.129836310495258
Joseph Normand SA,Peltier,TV,166091,0.40517548033634776
Girard,Aubrynec,Radio,362181,0.6378508445692395
Lefort S.A.R.L.,Sainte ChristineBourg,Radio,261206,0.8832557352445968
Gautier,Blanchet,Radio,341284,0.742030791963191
Fournier Lemonnier S.A.S.,Vincent,Billboards,186544,0.2477082785443379
Boutin Payet S.A.,ChauvetVille,Social Media,226417,0.5705153478271704
Philippe,Lefebvre-sur-Aubert,Radio,310716,0.25368011199090024
Valentin SARL,Bernard,Billboards,388426,0.515363372621866
Gallet De Sousa S.A.,Sainte Margot,TV,37902,0.29773949057433624
Imbert,DelormeVille,Social Media,363776,0.8500786092435813
Royer Blanchet S.A.S.,Lacombe,Billboards,484096,0.5683240805426494
De Sousa Jacob SARL,Garcia-les-Bains,TV,94322,0.48658527082392655
Guérin,Leduc-sur-Mer,Social Media,481371,0.513943416837477
Bouvet SA,Bousquetnec,Billboards,166155,0.43307884934886975
Hardy Guillot et Fils,Texier,TV,160892,0.5674945404826968
Courtois,Lemaireboeuf,Billboards,64767,0.12043709082061929
Laporte Perret S.A.R.L.,Bruneldan,Billboards,160924,0.8358138354413577
Didier S.A.S.,Normand,Radio,264515,0.5746488076350981
Roux S.A.R.L.,Maréchal,Radio,230539,0.791204815224907
Besnard S.A.R.L.,Grosnec,Radio,58642,0.5410417127489693
Paris,Leduc,Billboards,225175,0.6130119792254477
Tessier SA,Guillou,Social Media,331313,0.6643663778954536
Grégoire S.A.,Vallée,Social Media,425495,0.1172439390100875
Giraud,Peltier,TV,425465,0.37636900957422403
Charles et Fils,Gay,TV,48021,0.49435269378786284
Weiss Vidal SA,Mahe,Radio,336339,0.4391281218188906
Marchand SA,AlbertVille,TV,327589,0.8048630086399771
Chevallier Fernandez S.A.R.L.,Fouquet,Social Media,208066,0.4494840481451605
Bourdon,Rodriguez,Radio,335957,0.8615016631260088
Barthelemy S.A.S.,Ledouxdan,Social Media,450874,0.45310359891764784
Weiss Marty S.A.,Denis,Radio,127561,0.2050456776890485
Blanchet S.A.,Munoz-sur-Blin,TV,238724,0.20169291469274278
Ollivier SA,Peltier-sur-Mer,Billboards,91989,0.38595622146312536
Faure S.A.S.,Saint MargueriteVille,Social Media,288986,0.13478170995717492
Marchal,Boyer,Billboards,97800,0.24385141681304046
Leclerc S.A.R.L.,Sainte Frédérique-sur-Mer,Social Media,100439,0.23708238222713007
Gros S.A.,Aubry,Radio,312634,0.6765571138756435
Dupuy S.A.S.,François,Social Media,257245,0.5017007797152141
Barthelemy Barbe S.A.R.L.,Saint Michelleboeuf,Billboards,150581,0.3089780684151924
Weber,Mathieu,TV,437059,0.46821090954648736
Lambert Poulain SARL,Da Costa,Radio,386395,0.528584352620069
Georges,Pruvost,Radio,145651,0.3520540036490235
Joseph S.A.,Sainte Auroredan,Social Media,317518,0.7325630045506695
Leconte S.A.R.L.,Lelièvre-les-Bains,Radio,419875,0.5219529809874406
Lévy Grégoire SA,Germain-sur-Lopez,TV,370406,0.3018864347014669
Leconte,Sainte Claude,Radio,394887,0.2737201903036087
Giraud S.A.,Lejeune-sur-Mer,Social Media,101061,0.16890249059436924
Loiseau,Mauryboeuf,Social Media,333109,0.3769088147813585
Boutin S.A.,LefèvreVille,Billboards,178858,0.1987972344641789
Langlois SARL,Humbert-sur-Payet,TV,17965,0.1951446087222374
Bertrand Lacombe SARL,Vincent-les-Bains,Social Media,122358,0.40872805576871885
Jacques et Fils,Lucas,TV,336258,0.32546234745578084
Brun S.A.S.,Sainte Aimée,TV,60154,0.7488284637096271
Samson,Renard,Billboards,452018,0.5806401938842191
Voisin Weber et Fils,Gérard,Social Media,252795,0.10918776968667006
Tanguy SARL,Verdier,Social Media,464177,0.5175280370223365
Martin,Deschamps,Social Media,134053,0.4862657543808606
Garcia,Costa,TV,485673,0.5869539164537236
Renaud,Hardy,Social Media,87274,0.39685556774149544
Briand,Bonnin,TV,217620,0.19110235444702478
Pires Lopez SA,Sainte Marie-les-Bains,Radio,155879,0.5899926204173813
Le Goff,Verdier-sur-Sauvage,Radio,358978,0.5829180231711709
Cousin Petit S.A.S.,Dupont,TV,263277,0.22197261433415527
Coulon,Saint Julien-la-Forêt,Radio,273115,0.15702999861449485
Courtois,Dumas-les-Bains,Radio,109343,0.3980693985457444
Tessier,Traoreboeuf,Billboards,42412,0.1438558382650948
Morvan Chauveau SARL,Bonnin,Social Media,229440,0.5209181009703235
Dufour,Perretdan,Social Media,171121,0.856605504394908
Barbe,Bourdon-la-Forêt,Social Media,36629,0.8764425262621095
Albert Mendès S.A.R.L.,Saint Valentine,Billboards,263331,0.5145929584762838
Evrard Blanchard S.A.S.,Poirier,Social Media,123727,0.8191778296310097
Lesage Boutin et Fils,Le Gall,Billboards,46583,0.43843537979504865
Collin,Lemonnier,Radio,433580,0.8660246736951269
Peltier Auger S.A.,Maurice,TV,359183,0.7741900164176835
Meunier,RodriguesVille,Social Media,30497,0.4806665088761477
Ledoux,Andre,Radio,415435,0.19438230491185077
Leclerc,Maurynec,Billboards,301329,0.8302277821138739
Didier,Hervé,Billboards,148227,0.7617075347308121
Boyer S.A.R.L.,Millet-sur-Mer,Social Media,168273,0.7405583932478831
Legrand,Normandnec,Billboards,50379,0.2010020989798231
Grondin,NeveuVille,TV,445813,0.5383965026231411
Hoarau,Sainte Nathalie,TV,255740,0.8585861043093683
Robert,Barbier,Social Media,393429,0.48004635990293776
Gosselin SARL,Ramos-la-Forêt,Billboards,27544,0.4153148950713834
Marin Guillet S.A.R.L.,Sainte Élodieboeuf,Billboards,178889,0.10859833906577983
Regnier S.A.R.L.,Jacquet,Social Media,174658,0.8591150109266205
Paul Bertrand S.A.S.,Leblanc-les-Bains,TV,407839,0.17163505477341634
Germain Rivière S.A.R.L.,Lamy,Radio,287489,0.13573515454393334
Barbier,Sainte Eugènedan,Billboards,277139,0.8511392609048051
Teixeira,Hubert,Billboards,170849,0.2643322069129178
Pires Hebert SARL,Sainte Raymond,TV,44192,0.3274258130716852
Ledoux Torres S.A.R.L.,Reynaud,Social Media,316529,0.14819343187128917
Delattre SARL,Marie-sur-Launay,Social Media,421846,0.7133555386559757
Sauvage SARL,Sainte Claude-la-Forêt,Radio,437724,0.15610681043553098
Rousset SARL,Rivière,Social Media,309078,0.7788338555427321
Colin,Humbert-sur-Mer,Billboards,230221,0.5228542721112083
Da Costa Buisson SARL,Bonnet-sur-Lemaire,Radio,90747,0.3417069825258757
Leduc,Saint AlexandrieVille,TV,76691,0.6514783343884734
Benoit Marty et Fils,Andre-sur-Bertrand,TV,59963,0.4158075519945076
Fontaine S.A.R.L.,Legrand-sur-Lopes,Social Media,136688,0.8438700958245541
Descamps,Jean-sur-Guérin,Radio,344286,0.37914954212150465
Pruvost,Delannoy,Billboards,337456,0.8998783858005162
Meunier Delorme S.A.S.,Saint Madeleineboeuf,Social Media,250108,0.7758199219173453
Petitjean Ferreira S.A.R.L.,AlbertVille,Billboards,57488,0.5395740350375197
Delattre,Sainte Martin,Billboards,137593,0.29792541061732825
Lucas,Sainte Gabriel,Social Media,117753,0.5605984972910676
Roux,Sainte SylvieVille,Radio,149779,0.28496514838020826
Rivière,Toussaint-les-Bains,TV,157101,0.6863917758433503
Leroux,Godard-sur-Mer,Billboards,23898,0.7016370638528627
Labbé S.A.R.L.,Saint Alaindan,Social Media,327709,0.16756013400083952
Guillot SARL,Marty,Billboards,156370,0.23036319847120046
Garcia,Boucherboeuf,Billboards,25589,0.8289917455035968
Gilbert,Saint Anastasiedan,Social Media,346560,0.26544597511419915
Gallet Bonnet S.A.R.L.,Dumas,TV,178712,0.3354697070743522
Aubry,De Sousa,TV,352397,0.8289129815501223
Jourdan,LegendreVille,TV,480829,0.6434094819761235
Millet,Thibault,Billboards,387194,0.1917083471488014
Lemoine S.A.S.,Carlier,Radio,255048,0.5813589445165356
Brunel,Schmitt,Radio,472435,0.6210894998142756
Perrot,Diallo,Radio,338286,0.6734330224461731
Barre,Bernard-sur-Mer,TV,61175,0.6655139027714356
Lacombe S.A.S.,Saint Rogerboeuf,Social Media,100765,0.5201030282292661
Evrard Faivre et Fils,BernierBourg,Social Media,53108,0.8226333860247904
Paul Camus S.A.S.,Saint Gilbertdan,Radio,304092,0.7037219665576214
Giraud,Loiseau,Radio,157502,0.6277415078993026
Maillot SA,Jacques,TV,122629,0.27722613267145213
Rémy,BenoitVille,Billboards,301286,0.2103134004881264
Navarro,RamosVille,Radio,349956,0.38752839774043535
Vallet SA,Saint Clémence-les-Bains,Social Media,457601,0.45191423144052945
Guillou S.A.,Saint ChristianeBourg,Social Media,366668,0.5917136643123898
Chauveau Fernandes SARL,Faure-la-Forêt,TV,429146,0.19870819198068929
Millet Diallo et Fils,Lejeuneboeuf,TV,63476,0.672038275894298
Rousseau S.A.R.L.,Lemonnier,Social Media,490751,0.47799154442070324
Lagarde SARL,Perret,Social Media,313474,0.4647913303909442
Bernier,Saint Chantal,Social Media,294460,0.3610973052351474
Marin,DelannoyBourg,Radio,74549,0.1341196370741421
Jacques S.A.,Jourdan-sur-Salmon,Radio,429392,0.7566941468640817
Lecoq,Payet-sur-Pierre,Radio,252010,0.3095114673274614
Durand Joly S.A.,Boulanger,Billboards,411417,0.6149850122480932
Gaudin,Duboisboeuf,TV,298737,0.4555739217621103
Lopez,Vidal-sur-Mer,TV,309866,0.6538659323638938
Brun,DelmasBourg,Social Media,480832,0.5648483507968172
Guilbert Pruvost S.A.R.L.,Thomas,Social Media,150486,0.20430254790878016
Marques S.A.,Letellier,Radio,258768,0.7476941783356564
Guillaume S.A.,Julien-la-Forêt,Social Media,80088,0.2557300191324503
Labbé,Coste,Billboards,497701,0.6618830105058554
Diallo,Leduc,Radio,447776,0.3187951488395904
Sanchez,Saint SimoneBourg,Billboards,305809,0.6378153209803408
Nguyen SA,Marion,Radio,499104,0.5738316406510039
Hamon,Saint Martine,Billboards,495133,0.457981151928468
Leconte S.A.S.,Poirier,Social Media,344706,0.7015068747880812
Rey SARL,Delorme,Radio,445868,0.5195912274997587
Pineau,Saint ChantalBourg,Radio,139115,0.27350219652954993
Aubry et Fils,Sainte Maggie-sur-Mer,TV,360942,0.20886147776840228
Collet S.A.S.,RaynaudVille,Radio,475354,0.7542944127479727
Lambert S.A.S.,Samson,Billboards,197613,0.11684820636589147
Lelièvre SARL,Sainte Célinanec,Radio,385309,0.43823964504142865
Hamon,Saint Laurence,Billboards,198824,0.5314837046400083
Blin S.A.,Grégoire-la-Forêt,TV,21882,0.39345859332826405
Bousquet,Petit-sur-Lacombe,Radio,47026,0.19073870474850071
Lombard S.A.R.L.,Delannoy-sur-Mer,Billboards,297915,0.12085046343243794
Buisson,Saint Pauline-la-Forêt,TV,77303,0.8890700103268231
Marion SA,Philippe,TV,65067,0.5514020611072259
Marin,Couturier,Billboards,228706,0.26105304138540486
Martineau,Jacquot,TV,150032,0.525795479666199
Lagarde Petitjean SARL,Brundan,TV,380899,0.7350384010201916
Regnier,Sainte Alexandre,Social Media,380274,0.7385141402455807
Fouquet,Morvan-sur-Rodrigues,Radio,386081,0.5871361896308325
Ramos Hamel SA,Moreauboeuf,Radio,323578,0.255227864494206
Gilles,Lemoinenec,TV,443916,0.40132867410276807
Wagner SARL,Saint Jeanne,TV,334773,0.2115550442689779
Delorme S.A.S.,AllainBourg,Social Media,438193,0.18497623746183658
Fontaine,Richard,Billboards,498440,0.2716856324600927
Étienne,Ferreira-sur-Besnard,Social Media,153190,0.5155648115130232
Hamon,Saint Xavierboeuf,TV,412743,0.5790490796844215
Hoareau,Weissdan,Social Media,186323,0.4403153209474474
Léger S.A.S.,Peron-la-Forêt,Billboards,499521,0.7472237648154237
Da Silva Pierre et Fils,Saint Adèle,TV,30666,0.4913402409593328
Morin,Grégoire,Social Media,495622,0.606487616849238
Lombard,Devaux,Radio,370272,0.3113728350928595
Fournier,GuillaumeVille,Billboards,206879,0.8381181701481727
Foucher Barbier SARL,Baudry,Radio,333861,0.42250002984872337
Joly et Fils,Rousset,Social Media,241128,0.7686181366158005
Andre,Godard-la-Forêt,Social Media,216086,0.4311054101788233
Girard,Germain-sur-Andre,Social Media,369273,0.6224874354877273
Cordier Dos Santos S.A.R.L.,Sainte Élisabeth,Radio,497413,0.26796021453656316
Peron Teixeira S.A.,Gérard,Radio,182670,0.2530619265236143
Meunier Gérard SA,Gérardnec,Social Media,60733,0.8993472930821054
Grégoire Voisin SARL,Saint Michelle,TV,43269,0.46830336069744405
Leclerc SARL,Dumas,TV,184367,0.42173383628426875
Potier Maurice et Fils,Lebrun,Radio,424116,0.24961651040336819
Grondin S.A.,Joseph,Billboards,139176,0.8575776216702814
Pasquier S.A.R.L.,Barbe-la-Forêt,Billboards,208079,0.14261442947653055
Valette Olivier SARL,Riou,TV,439185,0.8984255458520425
Prévost,PotierBourg,TV,241518,0.2760883854525596
Germain Auger SA,Barondan,Social Media,125338,0.4338318279180773
Hamel Lopez S.A.,Saint Auroreboeuf,Billboards,462526,0.2537580064141777
Tanguy Dufour et Fils,Saint Alaindan,Billboards,443496,0.7341029456345821
Dupuy,Garcia,Billboards,170888,0.766059060307784
Vasseur Poulain S.A.R.L.,Sainte Paulette-la-Forêt,Billboards,422180,0.7403643143617438
Jacques,Bouchet-sur-Petit,Radio,419636,0.7300642620085556
Brun Marion S.A.,JacquesBourg,TV,170586,0.42662573481435684
Marchal,Vallet,Billboards,266482,0.22207485948882982
Lebrun S.A.R.L.,Vasseur,TV,242847,0.46977107255154216
Pasquier,HamelVille,Billboards,347590,0.3887468384111703
Rolland S.A.S.,Reynaud,Billboards,271056,0.48184003028798583
Duval Camus et Fils,Sainte Odettedan,Social Media,50899,0.25245315774750376
Hamon S.A.R.L.,Launay,Radio,220529,0.18697319770811385
Laine Parent S.A.S.,Sainte Joseph,Social Media,471229,0.12846639993963394
Navarro,Boutin-les-Bains,Radio,263351,0.422098702525906
Besnard S.A.,Lesage,Radio,440660,0.5565293466632583
Pottier Potier et Fils,Pasquier,Radio,210186,0.46725936060178486
Marty Lopes SARL,Gautier-sur-Mer,TV,67672,0.48795770375415704
Payet SA,Renaud-les-Bains,Radio,239318,0.34029581886455107
Tanguy SA,Saint OlivierBourg,Billboards,36922,0.5018296190968218
Clément,MorvanBourg,Radio,234400,0.8546708696288311
Techer,Delattre,Social Media,303023,0.6581654629267496
Huet S.A.,Gosselin-sur-Mallet,Billboards,450056,0.149212159630014
Delannoy Reynaud S.A.S.,GillesBourg,Social Media,486563,0.2770161250738754
Lecomte,DurandBourg,Billboards,468988,0.2147617688430545
Dias,Lemaîtreboeuf,Radio,128805,0.3991089810604973
Seguin S.A.S.,Lombard-la-Forêt,Radio,425371,0.22746797970069796
Perez,Legrand,Social Media,495426,0.4846546632754317
Guérin,Gilles,Social Media,83967,0.21855423335542917
Charles,Robin,Radio,107619,0.2685047208453377
Gaudin,Renardboeuf,Billboards,78298,0.6442057513920965
Blin,Schmitt,TV,61687,0.39123764276573936
Rousseau,Martins,Radio,167098,0.33623959485468224
Laurent Hoareau S.A.R.L.,Bonnet,Radio,17405,0.5275407996893698
Voisin,Saint Philippe,Social Media,76972,0.4459009416959864
Gillet S.A.R.L.,Sainte Timothée,TV,488510,0.7838434163522331
Berger S.A.,Guyon-sur-Bertin,Radio,382481,0.8798614705421571
Roux,Vallet-sur-Allard,Radio,390798,0.43114623225794435
Lemoine S.A.R.L.,Françoisboeuf,Radio,370793,0.21558984725653804
Vallet,Pelletier,Radio,18710,0.3130583507738714
Lebon SA,Texierboeuf,Billboards,423344,0.2150187271099676
Chauvin S.A.S.,Gauthierdan,Billboards,132502,0.2841440980234798
Dubois et Fils,Ollivier,Radio,201843,0.20175194526916693
Pereira Philippe S.A.S.,Vidal,Billboards,229108,0.3556117651924917
Jacquot Maréchal S.A.,Garnier,TV,121980,0.11845907848683278
Vasseur Vallée S.A.R.L.,Saint Suzanne-la-Forêt,Billboards,81457,0.835667623197433
Moulin Étienne et Fils,Saint Guy,Billboards,341895,0.20666552956225095
Bouvier S.A.,Adam,Billboards,203151,0.1761507633662892
Ollivier Maréchal S.A.R.L.,Lucas-la-Forêt,Radio,458838,0.5199444184718236
Meyer SARL,Dupont,Billboards,94917,0.3705095848263049
Costa SA,Gosselin-sur-Baudry,TV,39510,0.6368961217528618
Bonnet et Fils,Sainte Marc,TV,63917,0.7731658428978508
Morvan Meunier et Fils,Pagesdan,Social Media,389965,0.29421903376912784
Leduc et Fils,Valentin,TV,53299,0.3179642250273843
Bailly SARL,Saint Emmanuel,Radio,247170,0.8126981188412605
Fernandes,Saint Marthe-les-Bains,Radio,152047,0.36598340515682615
Collin,Jacob-la-Forêt,Billboards,137302,0.48104015114439014
Mace S.A.R.L.,Sainte Franck,Billboards,247934,0.8936809863609383
Pires,Renault-la-Forêt,Radio,309207,0.2979711264221089
Blin SA,Sainte ÉdithVille,Billboards,125499,0.5670663168057158
Colas SA,Cohendan,Billboards,285582,0.5665003836926751
Richard,ArnaudBourg,Radio,63566,0.4302287492567838
Lefebvre,Sainte Laurence-sur-Mer,TV,494212,0.8930822219810798
Parent,FernandezVille,Billboards,223584,0.7323710745472728
Marin et Fils,Lopesdan,Social Media,205671,0.27994985522213056
Mendès SA,Mendès,Billboards,93030,0.23670143593092813
Vidal Faure et Fils,Schneidernec,Billboards,282841,0.8799111719747853
Rousset,Sainte Clémenceboeuf,Billboards,28829,0.30452898662729344
Maillard Martin SA,Sainte Denis,Social Media,216184,0.2594683240082065
Perrier,Sainte ManonVille,Billboards,360439,0.23296312728445978
Weber et Fils,Blanchetboeuf,TV,191018,0.23465783573946988
Gilbert,ChevalierBourg,Social Media,17749,0.5905425821751437
Hoarau,Hernandez,Social Media,275690,0.2256061409538857
Dupré,CourtoisBourg,TV,309068,0.5706731240481161
Ruiz,Jacques-les-Bains,TV,267812,0.7401324629292565
Navarro,Pierre-sur-Rivière,Social Media,85474,0.24315215583925787
Roussel Jourdan S.A.,Le Goff-sur-Lévêque,Billboards,290438,0.48348468495447394
Brun,Laporte,Radio,282043,0.576268930925186
Devaux,Sainte Gilbert,Radio,230276,0.3515291296556361
Guérin,Texierdan,Radio,281865,0.4953003383223178
Leleu et Fils,Sainte Amélie,Social Media,336921,0.40470293011641034
Bouvet SA,Lebon-sur-Colin,Radio,152255,0.5028615515661782
Marques SA,Paul,Radio,277697,0.26035232872615655
Marchand Samson SARL,Sainte Aurore,Social Media,287789,0.3680939016102379
Gay S.A.S.,Faure,Social Media,63658,0.10285747512218579
Weiss,Labbé,Billboards,184987,0.195085153518008
Meyer et Fils,Rossi-sur-Mer,Radio,74727,0.6800575425054035
Fernandes SA,Perrot,Radio,335402,0.4433804106989431
Becker,Sainte Lucie-sur-Mer,TV,258087,0.8344496009608199
Chauvet,David,Social Media,273893,0.2147562468693466
Gonzalez,Schmitt,Billboards,136803,0.7842570189717051
Durand,Bigot-la-Forêt,TV,138539,0.3965651083544435
Barthelemy,Lecoq,TV,329767,0.30339218209323604
Colin Durand SA,Marin,Radio,66608,0.6246053419299764
Cohen,Saint Anoukboeuf,Radio,25960,0.3383018071510526
Boucher,Le Roux,Social Media,216990,0.2634750141765826
Brunet,Girauddan,Social Media,77204,0.2618999814459214
Pelletier,Bertin,TV,410582,0.34725965448095397
Lemaître,Charles,Billboards,42609,0.8175366999774266
Gonzalez,Saint NicolasBourg,TV,220018,0.4715811638753482
Ruiz Lefèvre SA,Saint Michelle,Social Media,362024,0.8825938815645192
Jourdan,Saint Théodore-les-Bains,Social Media,494005,0.29756527757148155
Lefort Collin S.A.R.L.,Leconte-sur-Diaz,TV,212447,0.8139857775905525
Roger Robert S.A.,Sainte Constance,TV,67369,0.740641749292795
Guyon S.A.S.,Bourdon-sur-Mer,Billboards,466847,0.6604689932929756
Lemonnier SARL,Pottier,Radio,33500,0.8930018849308361
Bodin et Fils,Sainte StéphanieBourg,Billboards,291825,0.8928241320383661
Cordier,Saint Dorothéedan,TV,135504,0.7964806707816098
Neveu,Da Silva,Billboards,442833,0.15040129420149154
Denis,Albert,Radio,58835,0.2168590188091141
Lévy SA,BazinVille,Billboards,451804,0.1963142833108214
Barbier S.A.S.,Raynaud-sur-Boyer,TV,452072,0.3548633545560954
Girard et Fils,Saint Christophe,Billboards,411725,0.7600504669313614
Lopes,Grégoire,Billboards,245964,0.23114735257027377
Aubry Bonnin SA,Toussaint,Radio,324787,0.8380430113663169
Rodriguez,Pelletier,Social Media,245214,0.1685340033119937
Rousseau,Sainte Georges-les-Bains,Radio,205163,0.8868022592774781
Lefebvre,CosteBourg,Radio,163030,0.3502026548571009
Charrier SARL,Saint Sébastien,Radio,129116,0.5382265051184888
Roussel,Dupuis,Billboards,429509,0.17689104290082042
Bertin,Pichon,Billboards,318368,0.8729048948352571
